A0_name,A0,theta,gamma_per_Gyr,t_half_Gyr,sigma_res_DESI_path,sigma_res_since_recomb
Sorkin_1e-61,1e-61,0.0001,6.893025158519126e-06,100557.76159518017,9.999060044178617e-62,9.993007595840177e-62
Sorkin_1e-61,1e-61,0.001,6.893025158519126e-05,10055.776159518018,9.99060441661602e-62,9.930295570363532e-62
Sorkin_1e-61,1e-61,0.01,0.0006893025158519125,1005.5776159518018,9.906440418940348e-62,9.324418395562637e-62
Sorkin_1e-61,1e-61,0.05,0.0034465125792595627,201.11552319036036,9.540873975903712e-62,7.048695707657256e-62
Sorkin_1e-61,1e-61,0.1,0.0068930251585191255,100.55776159518018,9.10282762240767e-62,4.968411117914583e-62
Sorkin_1e-61,1e-61,0.3,0.020679075475557376,33.51925386506006,7.54273684533089e-62,1.2264577018446282e-62
Sorkin_1e-61,1e-61,0.693,0.047768664348537535,14.51049950868401,5.213049978355281e-62,7.848514190624286e-64
Sorkin_1e-61,1e-61,1.0,0.06893025158519125,10.055776159518018,3.9062783535852115e-62,9.165902841429883e-65
Sorkin_1e-61,1e-61,1.2,0.0827163019022295,8.379813466265015,3.236799694325368e-62,2.2626131105973655e-65
Sorkin_1e-61,1e-61,2.0,0.1378605031703825,5.027888079759009,1.5259010575688389e-62,8.401377489853241e-68
Sorkin_1e-61,1e-61,5.0,0.3446512579259563,2.0111552319036035,9.095277101695825e-64,6.469582376444798e-77
Sorkin_1e-61,1e-61,10.0,0.6893025158519126,1.0055776159518017,8.272406555663238e-66,4.185549612560511e-92
amp_1e-10,1e-10,0.0001,6.893025158519126e-06,100557.76159518017,9.999060044178616e-11,9.993007595840177e-11
amp_1e-10,1e-10,0.001,6.893025158519126e-05,10055.776159518018,9.990604416616019e-11,9.930295570363531e-11
amp_1e-10,1e-10,0.01,0.0006893025158519125,1005.5776159518018,9.906440418940347e-11,9.324418395562638e-11
amp_1e-10,1e-10,0.05,0.0034465125792595627,201.11552319036036,9.540873975903711e-11,7.048695707657255e-11
amp_1e-10,1e-10,0.1,0.0068930251585191255,100.55776159518018,9.10282762240767e-11,4.9684111179145825e-11
amp_1e-10,1e-10,0.3,0.020679075475557376,33.51925386506006,7.542736845330889e-11,1.2264577018446283e-11
amp_1e-10,1e-10,0.693,0.047768664348537535,14.51049950868401,5.213049978355281e-11,7.848514190624286e-13
amp_1e-10,1e-10,1.0,0.06893025158519125,10.055776159518018,3.9062783535852114e-11,9.165902841429884e-14
amp_1e-10,1e-10,1.2,0.0827163019022295,8.379813466265015,3.236799694325368e-11,2.2626131105973655e-14
amp_1e-10,1e-10,2.0,0.1378605031703825,5.027888079759009,1.525901057568839e-11,8.40137748985324e-17
amp_1e-10,1e-10,5.0,0.3446512579259563,2.0111552319036035,9.095277101695824e-13,6.469582376444798e-26
amp_1e-10,1e-10,10.0,0.6893025158519126,1.0055776159518017,8.272406555663238e-15,4.185549612560511e-41
amp_1e-5,1e-05,0.0001,6.893025158519126e-06,100557.76159518017,9.999060044178617e-06,9.993007595840177e-06
amp_1e-5,1e-05,0.001,6.893025158519126e-05,10055.776159518018,9.99060441661602e-06,9.930295570363532e-06
